trade_date,template,rank,ts_code,name,industry_code,industry,score
20260729,healthy_uptrend,30,301526.SZ,国际复材,801710.SI,建筑材料,0.8399493159342731
20260729,parabolic_uptrend,1,688146.SH,中船特气,801080.SI,电子,0.9536817808049249
20260729,parabolic_uptrend,2,002832.SZ,比音勒芬,801130.SI,纺织服饰,0.9507150768638818
20260729,parabolic_uptrend,3,300489.SZ,光智科技,801080.SI,电子,0.9335488302569975
20260729,parabolic_uptrend,4,003036.SZ,泰坦股份,801890.SI,机械设备,0.9295815109258194
20260729,parabolic_uptrend,5,000811.SZ,冰轮环境,801890.SI,机械设备,0.9289333655348692
20260729,parabolic_uptrend,6,688141.SH,杰华特,801080.SI,电子,0.9272471410326506
20260729,parabolic_uptrend,7,301217.SZ,铜冠铜箔,801730.SI,电力设备,0.9266727189902315
20260729,parabolic_uptrend,8,300843.SZ,胜蓝股份,801080.SI,电子,0.9256536534064134
20260729,parabolic_uptrend,9,301273.SZ,瑞晨环保,801890.SI,机械设备,0.9247478047576628
20260729,parabolic_uptrend,10,300209.SZ,行云科技,801750.SI,计算机,0.9246229810833785
20260729,parabolic_uptrend,11,300408.SZ,三环集团,801080.SI,电子,0.9244112044507388
20260729,parabolic_uptrend,12,002281.SZ,光迅科技,801770.SI,通信,0.9241571807874811
20260729,parabolic_uptrend,13,002484.SZ,江海股份,801080.SI,电子,0.9213203981339564
20260729,parabolic_uptrend,14,688498.SH,源杰科技,801080.SI,电子,0.9207381785632833
20260729,parabolic_uptrend,15,301526.SZ,国际复材,801710.SI,建筑材料,0.9187343860333084
20260729,parabolic_uptrend,16,688630.SH,芯碁微装,801890.SI,机械设备,0.9180673559911269
20260729,parabolic_uptrend,17,301319.SZ,唯特偶,801080.SI,电子,0.9174304334577422
20260729,parabolic_uptrend,18,300308.SZ,中际旭创,801770.SI,通信,0.916917442785211
20260729,parabolic_uptrend,19,002938.SZ,鹏鼎控股,801080.SI,电子,0.9166792363060126
