threshold,template,base_count_corr,base_rate_corr,without_top1_count_corr,without_top3_count_corr,base_change_1d_corr,base_change_5d_corr,without_top1_change_5d_corr,without_top3_change_5d_corr,within_base_change_1d_corr,within_base_change_5d_corr,within_without_top1_change_5d_corr,within_without_top3_change_5d_corr,dates
0.7,fresh_breakout,0.9663977872967839,0.5931539339761038,0.9648462423019877,0.9590786617341205,0.5190786660342325,0.815046703192589,0.8121259741238559,0.795123671574502,0.39958377711244,0.6503789567918847,0.6310008056128852,0.5601377491517552,402
0.7,healthy_uptrend,0.9025016924159599,0.5061285825366371,0.8977726189419954,0.8721702091832203,0.14105418322130983,0.3227212207574894,0.31987626680593084,0.311338521282366,0.07332809017152199,0.1604783928028768,0.1467498701849872,0.16105174031828753,402
0.7,parabolic_uptrend,0.8867980102288355,0.455395281703883,0.8840255017345962,0.8602475239625058,0.06967685665895504,0.2023610130148745,0.20220964119306276,0.2161301611975244,0.037113258932324075,0.09006444856306586,0.0827927164961189,0.08490861796882665,402
0.7,pullback_strengthening,0.9020570855050021,0.5008550125579481,0.8995458684999469,0.8802267033836979,0.14369572191681987,0.3550895632183269,0.36357089257819253,0.36729872291905663,0.08394591306290775,0.17949394538798102,0.17744291257324782,0.1392626689928072,402
0.75,fresh_breakout,0.9552221163056442,0.5793393944009998,0.9571824066303445,0.9552293834848826,0.4872638227695052,0.8057603225719328,0.8057786804871815,0.7982797491273727,0.4077670911113047,0.6362105670575227,0.6075187415541323,0.5551509374641442,402
0.75,healthy_uptrend,0.9120310823006493,0.5201025007231039,0.9078906028479007,0.8846532612061635,0.15940463000042934,0.3588123998830536,0.3625179498122702,0.3572052698107288,0.11104554670397088,0.21291275887995575,0.1858325082794789,0.17161487497254388,402
0.75,parabolic_uptrend,0.9028934034314826,0.4565238846385548,0.8975280773655514,0.8704563503703966,0.07887373827785485,0.22881373102244634,0.23739020931230367,0.24539013360662104,0.038670527029005294,0.10738604767372237,0.09043484447760333,0.07884212310554797,402
0.75,pullback_strengthening,0.911748612839437,0.5072075341085214,0.9072133017591894,0.8898641312305219,0.15829885565951762,0.39331508430263,0.4024682876948818,0.4019271052720459,0.0952274891880826,0.19769331978618215,0.19765793235607565,0.16401156689794116,402
0.8,fresh_breakout,0.885290800439192,0.5230544202779122,0.8872303268818047,0.8943841325743329,0.34020690871988585,0.7225021403984255,0.7196295106493672,0.7359693661040256,0.34605207442819497,0.6302575158579129,0.5926126908816958,0.5259199790760847,402
0.8,healthy_uptrend,0.9277701007479411,0.5185075001205252,0.9229822402527285,0.9030849676529193,0.14164284635930222,0.3705614931889127,0.3748941450807397,0.3794435429657654,0.09845920123665838,0.22104376747229448,0.2012085682853421,0.19154022047179195,402
0.8,parabolic_uptrend,0.9173694650077557,0.46161996582947773,0.9145440894564669,0.8906046070197673,0.08059636055778835,0.22583122526406385,0.23389477802235525,0.23509397434193074,0.04461969819511254,0.10955708644205707,0.10210933723612271,0.09535865680223858,402
0.8,pullback_strengthening,0.933930999975296,0.5351033671801136,0.9307292215560219,0.9155461882203759,0.21323545940421648,0.4977500933806678,0.5027149381605891,0.5084656941309237,0.10091538019768312,0.2441049378614287,0.21810249046688984,0.2126745192510836,402
