variant,rows,score_median,score_min,return_pct_median,quadratic_coefficient_median,quadratic_fit_r2_median,positive_acceleration_share,positive_both_halves_and_acceleration_share,max_drawdown_pct_median
original_160,100,0.8952307477063084,0.8730650781490585,121.1494415,0.1356230682,0.8338695545,0.94,0.88,-42.8160525
selected_80,100,0.7820496809931319,0.7140541223690908,55.903043,-0.05116984795,0.7746754982499999,0.43,0.33,-32.811167999999995
