variant,window_bars,rank,ts_code,name,score,window_start,window_end,return_pct,quadratic_coefficient,quadratic_fit_r2,first_half_log_slope_bp_per_bar,second_half_log_slope_bp_per_bar,slope_delta_bp_per_bar,max_drawdown_pct
selected_80,80,34,688012.SH,中微公司,0.8093511612914674,20260402,20260729,79.428476,-0.1293503424,0.8624774788,129.865186,82.124857,-47.740329,-27.373354
selected_80,80,35,002303.SZ,美盈森,0.809266934322769,20260402,20260729,25.101623,0.1729370713,0.7485694367,3.798543,110.625774,106.827231,-18.849206
selected_80,80,36,920699.BJ,海达尔,0.80679228603129,20260402,20260729,126.451402,-0.0836853966,0.8332263515,206.309288,170.048344,-36.260944,-36.088572
selected_80,80,37,002774.SZ,快意电梯,0.8053765851453151,20260402,20260729,44.334714,0.0698983136,0.7725184223,52.616743,103.31643,50.699687,-16.552557
selected_80,80,38,600909.SH,华安证券,0.8021416413876754,20260402,20260729,41.265198,-0.1232234891,0.7237065271,77.246071,28.695602,-48.550469,-38.445424
selected_80,80,39,300506.SZ,名家汇,0.8018407263691828,20260401,20260729,43.048508,0.1705470895,0.6759338866,20.274829,146.737006,126.462176,-22.678843
selected_80,80,40,600857.SH,宁波中百,0.800790948462063,20260402,20260729,31.49889,-0.0814455575,0.7832196553,78.720177,46.905823,-31.814354,-31.551038
selected_80,80,41,301536.SZ,星宸科技,0.8003118868503307,20260402,20260729,85.7327,0.013532304,0.7628951922,64.543419,98.071254,33.527835,-28.638023
selected_80,80,42,300985.SZ,致远新能,0.7998804952153683,20260402,20260729,42.752918,0.0214728691,0.7115538675,25.70361,77.504012,51.800403,-48.0255
selected_80,80,43,688146.SH,中船特气,0.7966217858070527,20260330,20260729,587.380302,-0.6423840602,0.9107987257,339.211208,19.965786,-319.245421,-48.5115
selected_80,80,44,688200.SH,华峰测控,0.7948015522534245,20260402,20260729,101.215577,-0.1827697804,0.8382223724,138.795588,77.941667,-60.853922,-34.979742
selected_80,80,45,301072.SZ,中捷精工,0.7946121017705077,20260402,20260729,50.874704,-0.0614613691,0.7491595157,30.349508,31.495332,1.145824,-25.945695
selected_80,80,46,300558.SZ,贝达药业,0.7944852451136118,20260402,20260729,27.269964,0.0062680823,0.7296965997,37.53973,62.339916,24.800185,-20.562414
selected_80,80,47,688147.SH,微导纳米,0.7910877540705235,20260402,20260729,54.778786,-0.1022898145,0.7969766893,94.766414,74.801296,-19.965118,-40.931554
selected_80,80,48,688627.SH,精智达,0.790564389258228,20260402,20260729,90.142488,-0.208361088,0.8369711394,138.03852,60.211213,-77.827307,-38.418182
selected_80,80,49,603259.SH,药明康德,0.7885887748254,20260402,20260729,24.540155,0.1340122865,0.7006079003,-0.395861,82.964601,83.360462,-14.658932
selected_80,80,50,000725.SZ,京东方A,0.7823888053055318,20260402,20260729,45.862109,-0.1758609542,0.746409934,80.420631,-1.074578,-81.49521,-38.681319
selected_80,80,51,300604.SZ,长川科技,0.7817105566807319,20260402,20260729,134.134883,-0.2240950327,0.9052105863,181.412677,91.95838,-89.454296,-29.144385
selected_80,80,52,002371.SZ,北方华创,0.7811469719324055,20260402,20260729,61.421113,-0.1621057218,0.8681829152,116.296376,45.888587,-70.40779,-27.566071
selected_80,80,53,002747.SZ,埃斯顿,0.7775120617803954,20260402,20260729,57.0273,-0.2056659204,0.8364268646,108.285497,14.691642,-93.593855,-38.693878
selected_80,80,54,920510.BJ,丰光精密,0.7711521848468217,20260402,20260729,38.545953,-0.0335999996,0.6829363377,38.453393,47.351742,8.898349,-40.384615
selected_80,80,55,002832.SZ,比音勒芬,0.7707218875301924,20260402,20260729,44.779336,-0.0352870812,0.8304422252,54.353664,35.86564,-18.488024,-8.798486
selected_80,80,56,600584.SH,长电科技,0.7686570394109933,20260402,20260729,86.484108,-0.3345050666,0.8868254114,202.59487,27.990101,-174.604769,-32.783196
selected_80,80,57,688037.SH,芯源微,0.7675121046111482,20260402,20260729,101.255557,-0.1374227207,0.8219030159,147.643294,100.762785,-46.88051,-31.955358
selected_80,80,58,600667.SH,太极实业,0.767149749666357,20260402,20260729,98.135695,-0.2588738293,0.7632954651,124.756306,21.879833,-102.876474,-52.741433
selected_80,80,59,600206.SH,有研新材,0.7629467187091103,20260402,20260729,99.12562,-0.1288728263,0.7439708452,105.314055,92.055683,-13.258372,-46.141141
selected_80,80,60,003004.SZ,声迅股份,0.7629128127255914,20260401,20260729,95.496998,-0.3996163015,0.8897618871,206.204033,-10.625036,-216.829069,-32.536395
selected_80,80,61,688630.SH,芯碁微装,0.7602451774104774,20260402,20260729,86.93625,-0.2665483158,0.8122590923,104.361872,-17.994267,-122.356139,-38.073807
selected_80,80,62,301526.SZ,国际复材,0.7575340095281746,20260402,20260729,166.654633,-0.3709282184,0.8181455322,177.622712,26.486482,-151.136231,-50.81273
selected_80,80,63,688549.SH,中巨芯,0.7568479022610486,20260402,20260729,159.430605,-0.4073433644,0.8269353384,188.943759,20.425014,-168.518745,-47.586207
selected_80,80,64,301165.SZ,锐捷网络,0.7564997135617892,20260402,20260729,83.942468,0.3548921824,0.757995242,17.997291,218.388051,200.390761,-24.208416
selected_80,80,65,000811.SZ,冰轮环境,0.7552334858299321,20260402,20260729,121.237186,-0.2979511242,0.8728902054,215.530444,94.545924,-120.98452,-33.866951
selected_80,80,66,002768.SZ,国恩股份,0.7528841852192143,20260402,20260729,53.47587,-0.1642642428,0.8839092482,99.472822,28.630133,-70.84269,-23.879353
selected_80,80,67,002965.SZ,祥鑫科技,0.749860531465765,20260402,20260729,15.53884,-0.1014898987,0.7214365224,58.286081,33.577973,-24.708108,-39.56914
selected_80,80,68,300671.SZ,富满微,0.7497174207869314,20260402,20260729,59.668222,0.0476728898,0.6370009419,53.697964,130.960575,77.262611,-40.246286
selected_80,80,69,301377.SZ,鼎泰高科,0.7492641420193352,20260402,20260729,95.497203,-0.372744034,0.7936151817,137.01717,-49.478396,-186.495566,-45.227411
selected_80,80,70,000908.SZ,石药景峰,0.7488238722854772,20260401,20260729,13.7325,0.1675257681,0.6655422671,2.680664,104.280261,101.599597,-22.658228
