variant,lag_trading_days,observations,overlap_mean,overlap_median,overlap_min,jaccard_mean,jaccard_median,jaccard_min,common_rank_spearman_mean,common_rank_spearman_median
original_160,1,69,95.33333333333333,95.0,91,0.9113253333909591,0.9047619047619048,0.8348623853211009,0.965665101209984,0.9674272116461365
original_160,5,65,78.63076923076923,80.0,70,0.6494620607784383,0.6666666666666666,0.5384615384615384,0.6191526426318374,0.6352758237689743
original_160,10,60,61.56666666666667,63.0,49,0.44629360998271195,0.45985401459854014,0.32450331125827814,0.30727713413586255,0.3132200460829493
selected_80,1,69,92.31884057971014,92.0,86,0.858189384483849,0.8518518518518519,0.7543859649122807,0.9240513077918876,0.9300207039337474
selected_80,5,65,66.66153846153846,68.0,54,0.5039757492658968,0.5151515151515151,0.3698630136986301,0.41436292944579844,0.44211169217849366
selected_80,10,60,42.516666666666666,41.0,27,0.27443652684325376,0.2578616352201258,0.15606936416184972,0.11025758507432507,0.15407095396298054
